ID,nivel_de_satisfaccion,ultima_evaluacion,cantidad_proyectos,promedio_horas_mensuales_trabajadas,años_en_la_empresa,tuvo_un_accidente_laboral,promociones_ultimos_5_anios,area,salario,se_fue
1213,0.77,0.73,3,224,2,1,0,ventas,bajo,no
5580,0.89,0.56,4,241,5,0,0,TI,bajo,no
2054,0.8,0.55,4,144,5,1,0,gestión de productos,alto,no
1269,0.83,0.84,3,249,2,0,0,soporte,medio,no
7491,0.43,0.47,2,130,3,0,0,tecnica,bajo,si
8899,0.89,0.9,3,240,3,0,0,ventas,alto,no
3723,0.11,0.92,6,305,4,0,0,tecnica,bajo,si
6612,0.24,0.46,7,224,5,0,0,contabilidad,medio,si
943,0.72,0.94,4,235,3,0,0,tecnica,medio,no
3816,0.93,0.63,4,143,3,1,0,gestión de productos,bajo,no
2727,0.26,0.69,5,213,2,0,0,contabilidad,alto,no
8095,0.82,0.37,2,280,3,0,0,contabilidad,medio,no
4457,0.3,0.7,5,280,4,1,0,contabilidad,bajo,no
8048,0.52,0.9,4,285,2,0,0,RRHH,bajo,no
8070,0.39,0.53,2,131,3,0,0,ventas,medio,si
7890,0.54,0.76,2,166,4,0,0,soporte,medio,no
4368,0.93,0.95,6,147,3,0,0,tecnica,bajo,no
7492,0.61,0.98,2,238,4,0,0,soporte,medio,no
6248,0.5,0.71,5,171,4,0,0,soporte,bajo,no
7051,0.43,0.57,2,160,3,0,0,tecnica,medio,si
7,0.88,0.66,4,218,4,1,0,marketing,bajo,no
4718,0.73,0.92,5,266,5,0,0,soporte,medio,si
2185,0.92,0.49,3,240,2,0,0,RRHH,bajo,no
3770,0.8,0.74,3,228,3,0,0,tecnica,medio,no
6081,0.62,0.79,4,268,6,0,0,ventas,medio,no
3491,0.62,0.6,3,171,2,0,0,ventas,bajo,no
1103,0.81,0.8,5,132,2,1,0,dirección,alto,no
2417,0.11,0.8,6,282,4,0,0,tecnica,medio,si
6627,0.63,0.87,4,145,3,1,0,soporte,alto,no
4143,0.8,0.94,4,271,4,0,1,ventas,medio,no
7817,0.88,0.83,4,273,10,0,0,ventas,medio,no
1021,0.42,0.5,2,151,3,0,0,ventas,bajo,no
4312,0.78,0.68,5,189,3,0,0,ventas,medio,no
9765,0.68,0.97,5,207,4,1,0,ImásD,bajo,no
8853,0.59,0.8,5,247,3,0,0,contabilidad,medio,no
8787,0.2,0.7,6,281,5,0,0,ventas,medio,si
1735,0.22,0.7,2,274,10,0,0,ventas,alto,no
1296,0.76,0.45,4,147,2,0,0,gestión de productos,medio,no
6472,0.21,0.99,6,165,4,1,0,ImásD,bajo,no
3404,0.85,0.56,3,159,3,0,0,RRHH,medio,no
6507,0.43,0.52,2,146,3,0,0,tecnica,bajo,si
3174,0.93,0.76,4,207,2,0,0,tecnica,medio,no
1860,0.66,0.57,4,220,2,1,0,soporte,medio,no
7748,0.66,0.9,4,268,3,0,0,tecnica,medio,no
927,0.6,0.79,5,217,2,0,0,ventas,bajo,no
4623,0.79,0.86,5,235,5,0,0,soporte,medio,si
5065,0.52,0.38,2,103,3,0,0,soporte,medio,no
5940,0.6,0.57,3,202,3,0,0,soporte,bajo,no
3295,0.56,0.85,3,265,10,1,0,dirección,bajo,no
4837,0.62,0.55,3,108,2,1,0,ventas,medio,no
9447,0.96,0.73,5,169,3,1,0,gestión de productos,bajo,no
4779,0.41,0.48,2,148,3,0,0,ventas,bajo,si
8811,0.83,0.99,5,258,5,0,0,soporte,alto,si
9048,0.11,0.87,7,282,5,0,0,tecnica,bajo,si
6023,0.89,0.62,5,196,3,0,0,soporte,bajo,no
4063,0.49,0.59,4,137,4,0,0,tecnica,alto,no
1455,0.37,0.51,2,155,3,0,0,ventas,bajo,si
9251,0.37,0.86,6,260,3,0,0,tecnica,medio,no
2979,0.91,0.91,4,262,6,0,0,soporte,bajo,si
601,0.09,0.83,7,258,4,0,0,gestión de productos,bajo,si
9371,0.44,0.65,3,175,2,0,0,TI,bajo,no
7124,0.65,0.65,4,224,3,0,0,ventas,bajo,no
1407,0.5,0.74,4,246,3,0,0,dirección,medio,no
5430,0.69,0.75,3,204,3,0,0,ventas,bajo,no
9430,0.89,0.76,3,251,2,1,0,ventas,bajo,no
5786,0.59,0.71,5,169,2,0,0,ventas,bajo,no
3997,0.92,0.85,5,259,5,0,0,ventas,bajo,si
6402,0.38,0.51,2,159,3,0,0,tecnica,bajo,si
3160,0.58,0.69,4,165,3,0,0,tecnica,bajo,no
3040,0.24,0.81,6,263,7,0,0,dirección,alto,no
2171,0.89,0.94,5,223,3,0,0,ventas,medio,no
3650,0.89,0.78,3,185,2,1,0,tecnica,medio,no
9720,0.31,0.54,5,259,5,1,0,tecnica,medio,no
1523,0.98,0.74,3,185,3,0,0,ventas,medio,no
899,0.61,0.9,3,224,3,0,0,soporte,bajo,no
1401,0.77,0.54,5,252,2,0,0,TI,bajo,no
6812,0.6,0.67,3,249,2,0,0,ventas,medio,no
6113,0.49,0.98,3,224,3,0,0,RRHH,medio,no
8798,0.38,0.44,3,137,3,0,0,ventas,medio,no
6642,0.09,0.93,7,270,4,0,0,ventas,medio,si
7273,0.87,0.93,4,199,3,0,0,tecnica,bajo,no
5142,0.3,0.67,3,150,2,0,0,tecnica,medio,no
6510,0.9,0.81,4,175,3,0,0,dirección,medio,no
8107,0.83,0.99,4,226,2,0,0,tecnica,bajo,no
7756,0.62,0.61,3,171,3,0,0,soporte,medio,no
9664,0.15,0.74,2,176,3,1,0,ventas,bajo,no
4334,0.36,0.52,2,146,3,0,0,ventas,medio,si
3074,0.8,0.85,4,264,5,0,0,soporte,medio,si
4038,0.09,0.87,3,214,2,0,0,soporte,medio,si
104,0.1,0.86,6,278,4,0,0,tecnica,alto,si
1813,0.22,0.55,4,261,3,1,0,ventas,medio,no
8306,0.6,0.95,3,266,3,0,0,ventas,medio,no
2279,0.29,0.43,3,162,4,0,0,TI,medio,no
2357,0.96,0.53,3,166,3,0,0,marketing,bajo,no
756,0.61,0.68,5,225,4,0,0,tecnica,bajo,no
2421,0.61,0.9,2,142,3,0,0,marketing,alto,no
7213,0.1,0.95,6,244,5,0,0,TI,medio,si
8348,0.23,0.88,5,156,4,0,0,ventas,bajo,no
4901,0.89,0.99,5,257,5,0,0,contabilidad,medio,si
3821,0.41,0.45,3,236,2,0,0,ImásD,medio,no
2427,0.62,0.95,3,189,4,0,0,ImásD,bajo,no
1094,0.89,0.86,3,261,4,0,0,ventas,bajo,no
3840,0.6,0.59,4,201,3,0,0,ventas,medio,no
5631,0.75,0.55,2,184,2,0,0,soporte,bajo,no
2135,0.37,0.54,2,131,3,1,0,RRHH,medio,si
4378,0.41,0.52,2,159,3,0,0,ventas,bajo,si
2146,0.77,0.93,5,182,4,0,0,soporte,medio,no
4943,0.37,0.5,2,135,3,0,0,gestión de productos,bajo,si
3483,0.98,0.88,4,145,2,0,0,ventas,bajo,no
6395,0.98,0.9,4,247,2,0,0,tecnica,medio,no
3687,0.13,0.84,5,189,5,0,0,tecnica,bajo,no
3497,0.8,0.95,3,247,3,0,0,RRHH,medio,no
5249,0.18,0.52,5,185,6,0,0,gestión de productos,alto,no
7281,0.93,0.66,4,228,3,0,0,ImásD,bajo,no
2175,0.41,0.45,2,144,3,1,0,gestión de productos,bajo,si
4059,0.53,0.75,3,232,3,0,0,ventas,bajo,no
2612,0.09,0.86,7,309,4,0,0,tecnica,bajo,si
6193,0.61,0.83,4,245,3,1,1,tecnica,bajo,no
1807,0.77,0.75,4,191,3,0,0,TI,medio,no
8488,0.4,0.49,2,135,3,0,0,ventas,bajo,si
7337,0.56,0.92,5,222,4,0,0,soporte,medio,no
6567,0.37,0.54,2,149,3,0,0,soporte,bajo,si
6073,0.38,0.54,2,112,3,0,0,marketing,medio,no
3657,0.09,0.9,7,296,4,0,0,tecnica,medio,si
5205,0.78,0.61,3,148,2,0,0,ventas,medio,no
8592,0.7,0.59,3,138,3,0,0,ImásD,bajo,no
5714,0.92,0.95,6,239,4,0,0,ventas,medio,no
8247,0.13,0.43,4,165,5,0,0,ventas,bajo,no
3068,0.1,0.77,6,247,4,0,0,ventas,bajo,si
6954,0.71,0.96,3,132,2,0,0,soporte,medio,no
2602,0.73,0.73,5,249,3,0,0,tecnica,medio,no
5835,0.95,0.94,2,269,4,1,0,ventas,bajo,no
4724,0.59,0.69,4,226,3,0,0,gestión de productos,bajo,no
9817,0.49,0.49,3,168,7,0,0,ventas,bajo,no
5541,0.14,0.47,4,175,2,0,0,ImásD,medio,si
8961,0.39,0.53,2,127,3,0,0,ventas,medio,si
8849,0.65,0.96,5,226,2,1,0,marketing,medio,no
2690,0.1,0.84,6,261,4,0,0,contabilidad,medio,si
3154,0.48,0.53,4,271,3,0,0,RRHH,bajo,no
9668,0.81,0.92,3,251,3,1,0,soporte,medio,no
9923,0.31,0.62,6,135,5,0,0,soporte,bajo,si
9192,0.23,0.99,5,176,4,1,0,ventas,bajo,no
4575,0.24,0.78,5,131,5,0,0,ventas,bajo,no
3989,0.82,0.79,3,176,3,0,0,tecnica,bajo,no
6463,0.91,0.8,5,169,4,0,0,ventas,bajo,no
1494,0.72,0.88,2,247,3,0,0,tecnica,medio,no
5615,0.11,0.78,7,278,4,0,0,ventas,bajo,si
2340,0.36,0.48,2,158,3,0,0,TI,bajo,si
9431,0.4,0.5,2,136,3,0,0,marketing,bajo,si
5893,0.38,0.49,2,145,3,0,0,TI,bajo,si
5046,0.38,0.67,2,117,3,0,0,tecnica,bajo,no
3944,0.6,0.91,5,211,3,0,0,ventas,bajo,no
8623,0.95,0.67,4,261,3,0,0,tecnica,bajo,no
3566,0.66,0.72,4,271,3,0,0,ventas,bajo,no
2823,0.56,0.71,3,211,6,0,1,marketing,bajo,no
1671,0.41,0.96,5,167,3,1,0,tecnica,bajo,no
1686,0.49,0.74,2,263,3,1,0,ventas,medio,no
4720,0.93,0.5,5,272,3,0,0,ventas,bajo,no
2477,0.55,0.97,3,222,2,0,0,dirección,medio,no
2117,0.65,0.7,3,243,3,0,0,ventas,medio,no
6601,0.1,0.94,6,287,4,0,0,tecnica,medio,si
467,0.65,0.56,3,142,3,0,0,ventas,bajo,no
6858,0.78,0.87,5,256,5,0,0,soporte,medio,si
3443,0.91,0.84,5,265,5,0,0,tecnica,medio,si
4001,0.22,0.78,6,206,6,0,0,ImásD,bajo,no
8031,0.82,0.63,4,232,4,0,0,tecnica,bajo,no
8988,0.32,0.45,2,188,3,0,0,ventas,bajo,no
2764,0.54,0.51,4,137,4,0,1,ImásD,medio,no
9399,0.09,0.9,7,296,4,0,0,tecnica,medio,si
7123,0.72,0.58,5,147,3,1,0,ventas,medio,no
6711,0.66,0.6,3,179,4,0,0,soporte,bajo,no
517,0.41,0.5,6,151,2,0,0,tecnica,bajo,no
3864,0.5,0.51,5,134,3,0,0,gestión de productos,bajo,no
4671,0.54,0.49,4,190,3,0,0,tecnica,medio,no
5476,0.8,0.99,3,248,3,1,0,ventas,medio,no
6824,0.88,0.7,4,146,4,0,0,ventas,bajo,no
8948,0.57,0.72,4,214,2,1,0,ventas,bajo,no
6042,0.96,0.88,3,168,2,0,0,ventas,bajo,no
4186,0.38,0.53,2,156,3,0,0,ventas,bajo,si
5296,0.11,0.85,7,272,4,0,0,contabilidad,bajo,si
572,0.89,0.91,5,156,4,0,0,ventas,medio,no
2548,0.96,0.59,2,265,2,0,0,ImásD,bajo,no
3879,0.14,0.73,6,237,5,0,0,TI,medio,no
1931,0.09,0.89,6,282,4,0,0,soporte,bajo,si
8123,0.45,0.45,2,145,3,0,0,ventas,medio,si
1493,0.76,0.87,5,245,5,0,0,ventas,bajo,si
7843,0.79,0.82,4,220,3,0,0,ventas,medio,no
5338,0.74,0.95,4,237,3,1,0,marketing,medio,no
6464,0.83,0.81,5,219,5,0,0,ventas,bajo,si
1676,0.87,0.9,3,174,2,0,0,TI,bajo,no
6177,0.54,0.6,4,139,5,0,0,soporte,bajo,no
3043,0.8,0.54,5,261,2,0,0,ventas,medio,no
7069,0.76,0.64,4,144,2,0,0,ventas,alto,no
3892,0.41,0.9,6,155,2,0,0,contabilidad,medio,no
9455,0.88,0.85,3,220,3,0,0,dirección,medio,no
9435,0.62,0.95,4,140,2,0,0,contabilidad,bajo,no
7087,0.44,0.57,5,183,2,1,0,ventas,bajo,no
2508,0.41,0.51,2,137,3,0,0,soporte,medio,si
2163,0.6,0.96,4,220,3,1,1,ventas,medio,no
5782,0.96,0.76,4,152,3,1,0,contabilidad,bajo,no
2608,0.62,0.66,3,208,3,0,0,dirección,bajo,no
5176,0.8,0.76,4,135,2,0,0,tecnica,bajo,no
7653,0.68,0.84,3,270,3,0,0,soporte,alto,no
1638,0.67,0.91,2,245,2,1,1,ventas,medio,no
3941,0.91,0.73,3,155,3,0,0,RRHH,bajo,no
4595,0.74,0.88,4,248,6,0,0,contabilidad,bajo,si
8457,0.67,0.36,3,280,4,0,0,soporte,bajo,no
9017,0.57,0.6,2,163,3,0,0,ventas,medio,no
8590,0.22,0.94,3,193,10,0,1,dirección,alto,no
6566,0.54,0.93,4,161,4,1,0,RRHH,bajo,no
9252,0.39,0.75,6,185,3,0,1,dirección,alto,no
5029,0.83,0.88,5,171,3,1,0,TI,medio,no
5613,0.35,0.6,5,239,5,0,0,soporte,medio,no
9982,0.37,0.57,2,130,3,0,0,ventas,bajo,si
3381,0.53,0.59,4,259,3,0,0,ventas,bajo,no
195,0.49,0.67,2,190,8,0,0,marketing,medio,no
4893,0.74,0.59,4,177,4,1,0,ventas,medio,no
8476,0.45,0.46,2,142,3,0,0,soporte,medio,si
62,0.83,0.95,4,251,5,0,0,marketing,medio,si
701,0.8,0.86,3,226,2,0,0,contabilidad,medio,no
1598,0.5,0.87,3,252,2,0,0,soporte,bajo,no
7493,0.29,0.86,3,251,4,0,0,ventas,medio,no
7150,0.72,0.61,3,175,3,0,0,ventas,alto,no
9451,0.59,0.88,3,159,2,0,0,tecnica,medio,no
4536,0.35,0.5,5,227,2,0,0,soporte,bajo,no
724,0.84,0.79,6,140,2,0,0,contabilidad,alto,no
6308,1,0.84,3,185,3,0,0,gestión de productos,medio,no
7374,0.82,0.74,3,232,3,0,0,RRHH,bajo,no
1333,0.7,0.65,5,202,3,1,0,tecnica,medio,no
3855,0.77,0.64,3,254,3,0,0,contabilidad,medio,no
2187,0.59,0.63,5,243,2,0,0,contabilidad,medio,no
564,0.73,0.88,5,204,5,0,0,ventas,bajo,no
3847,0.48,0.56,2,151,3,0,0,RRHH,medio,no
631,0.95,0.54,4,180,5,0,0,ventas,alto,no
2195,0.44,0.56,2,133,3,0,0,tecnica,medio,si
531,0.58,0.85,4,162,3,0,0,ventas,medio,no
9865,0.1,0.89,6,280,4,0,0,gestión de productos,medio,si
2892,0.94,0.48,4,143,2,0,0,soporte,medio,no
978,0.8,0.78,3,175,3,0,0,tecnica,medio,no
699,0.59,0.94,5,274,2,0,0,ventas,alto,no
8547,0.62,0.92,4,198,2,0,0,ventas,medio,no
7321,0.12,0.78,6,260,5,0,0,dirección,medio,no
7926,0.78,0.98,5,263,6,0,0,ventas,bajo,si
9531,0.91,1,6,242,3,1,0,RRHH,medio,no
1006,0.37,0.49,2,151,3,0,0,tecnica,medio,si
961,0.61,0.97,4,256,4,0,0,tecnica,medio,no
7750,0.74,0.54,3,175,3,1,0,TI,alto,no
7611,0.73,0.69,6,273,4,1,0,marketing,medio,no
92,0.43,0.51,2,132,3,0,0,ventas,medio,si
7556,0.38,0.51,2,138,3,0,0,tecnica,bajo,si
7073,0.89,0.82,4,243,5,0,0,ventas,medio,si
6110,0.18,0.99,4,160,5,0,0,contabilidad,bajo,no
4663,0.84,0.97,5,256,5,0,0,soporte,bajo,si
1519,0.97,0.82,3,135,2,0,0,tecnica,bajo,no
80,0.14,0.62,4,158,4,1,0,tecnica,bajo,si
4386,0.96,1,4,167,2,1,0,tecnica,bajo,no
4771,0.6,0.62,5,165,2,0,0,ventas,medio,no
3776,0.94,0.7,5,147,2,0,0,soporte,medio,no
4503,0.61,0.5,4,269,3,0,0,TI,medio,no
6911,0.77,0.83,5,197,4,0,0,dirección,alto,no
536,0.52,0.64,5,258,2,0,0,soporte,medio,no
3437,0.76,0.72,3,242,5,1,0,tecnica,medio,no
7776,0.42,0.56,2,146,3,0,0,ImásD,bajo,si
8094,0.91,0.56,4,251,4,0,0,gestión de productos,medio,no
2303,0.88,0.67,5,260,3,1,0,ImásD,bajo,no
3428,0.78,0.81,4,232,3,0,0,ventas,medio,no
8296,0.75,0.76,4,254,4,0,0,soporte,bajo,no
8265,0.29,0.42,6,253,3,0,0,RRHH,medio,no
2864,0.96,0.88,4,165,2,0,0,tecnica,medio,no
1424,0.83,0.9,3,102,4,0,0,soporte,medio,no
6813,0.14,0.73,6,237,5,0,0,TI,medio,no
1005,0.42,0.74,6,218,6,0,0,ventas,medio,no
327,0.15,0.81,3,191,5,0,0,dirección,medio,no
9669,0.44,0.45,2,124,3,0,0,ventas,bajo,no
338,0.22,0.61,3,148,5,0,0,ventas,medio,no
3273,0.49,0.77,3,211,3,0,0,TI,alto,no
8850,0.71,0.81,3,141,3,0,0,soporte,medio,no
5969,0.5,0.78,4,185,3,0,0,ImásD,alto,no
2769,0.78,0.86,5,274,5,0,0,ventas,bajo,si
7134,0.75,0.92,3,160,3,1,0,tecnica,medio,no
8063,0.16,0.72,4,192,6,0,0,ventas,alto,no
3038,0.43,0.5,4,121,5,1,0,soporte,medio,no
4761,0.49,0.83,4,194,3,0,0,tecnica,medio,no
6740,0.1,0.93,7,258,4,0,0,tecnica,bajo,si
6199,0.75,0.98,3,206,2,0,0,RRHH,bajo,no
6222,0.69,0.94,3,170,3,0,0,TI,alto,no
9448,0.74,0.87,5,264,3,0,0,contabilidad,alto,no
4007,0.91,0.7,4,196,2,0,0,tecnica,bajo,no
1154,0.54,0.81,5,261,6,0,0,ImásD,medio,no
5081,0.52,0.59,5,150,2,0,0,ventas,bajo,no
2174,0.89,0.99,4,205,2,0,1,ventas,medio,no
4697,0.7,0.6,3,183,3,0,0,ventas,bajo,no
3575,0.91,0.53,4,212,3,0,0,tecnica,bajo,no
9494,0.27,0.61,3,213,6,0,0,ventas,bajo,no
3749,0.59,0.55,3,179,3,0,0,soporte,medio,no
2213,0.45,0.54,2,154,3,0,0,marketing,bajo,si
6016,0.59,0.5,2,162,2,0,0,dirección,alto,no
1318,0.66,0.54,5,191,2,0,0,TI,bajo,no
9336,0.13,0.6,3,178,5,0,0,soporte,bajo,no
4970,0.6,0.64,2,137,5,0,0,ventas,medio,no
1574,0.59,0.47,3,159,4,0,0,gestión de productos,bajo,no
5999,0.79,0.58,3,294,4,0,0,RRHH,bajo,si
9510,0.54,0.76,3,157,4,0,0,ventas,bajo,no
6450,0.11,0.8,6,285,4,0,0,contabilidad,medio,si
4040,0.82,0.92,5,198,3,0,0,tecnica,bajo,no
3118,0.48,0.62,3,200,3,1,0,ImásD,medio,no
8053,0.71,0.39,3,261,3,0,0,ImásD,medio,no
1387,0.7,0.58,5,168,3,0,0,dirección,bajo,no
1859,0.51,0.92,3,224,3,0,0,contabilidad,medio,no
8643,0.56,0.74,3,154,2,0,0,RRHH,medio,no
2970,0.79,0.89,5,239,5,0,0,ventas,bajo,si
3501,0.95,0.48,4,225,3,0,0,ventas,medio,no
7554,0.67,0.92,4,156,2,0,0,soporte,medio,no
1864,0.65,0.89,4,240,3,0,0,ventas,bajo,no
172,0.36,0.55,2,134,3,0,0,soporte,bajo,si
3917,0.71,1,5,210,3,0,0,ventas,medio,no
4654,0.56,0.85,5,230,3,0,0,contabilidad,medio,no
9892,0.86,0.64,5,188,3,0,0,gestión de productos,medio,no
3301,0.62,0.95,4,132,3,0,0,ImásD,medio,no
8343,0.38,0.52,2,128,3,0,0,ventas,medio,si
4382,0.66,0.84,3,170,4,0,0,soporte,bajo,no
5139,0.37,0.51,2,132,3,0,0,tecnica,medio,si
9277,0.73,0.64,3,202,4,0,0,tecnica,alto,no
7455,0.15,0.92,5,164,3,0,0,ventas,medio,no
2011,0.64,0.89,3,175,3,1,0,gestión de productos,alto,no
2972,0.38,0.5,3,196,3,0,0,ventas,medio,no
9346,0.1,0.85,6,260,4,0,0,ventas,bajo,si
5627,0.66,0.97,3,263,3,0,0,contabilidad,medio,no
7319,0.9,0.73,4,245,2,0,0,ventas,bajo,no
3585,0.39,0.68,2,282,5,0,0,marketing,bajo,si
7398,0.74,0.64,4,147,5,0,0,tecnica,medio,no
5171,0.76,0.98,5,242,5,0,0,dirección,bajo,si
8789,0.11,0.88,7,272,4,0,0,ventas,medio,si
1782,0.5,0.74,4,272,5,0,0,contabilidad,bajo,no
2713,0.64,0.77,3,213,3,1,0,ImásD,medio,no
913,0.92,0.91,4,247,3,0,0,TI,bajo,no
2023,0.74,1,5,275,5,0,0,ventas,bajo,si
9390,0.45,0.5,2,147,3,0,0,ventas,bajo,si
2848,0.72,0.88,5,216,10,1,0,soporte,medio,no
6976,0.6,0.85,3,242,2,0,0,TI,bajo,no
7549,0.95,0.77,5,199,10,1,0,ventas,medio,no
1013,0.58,0.82,4,268,3,0,0,ventas,medio,no
2302,0.83,0.64,4,210,3,0,0,dirección,medio,no
2599,0.65,0.97,3,171,3,0,0,TI,medio,no
971,0.11,0.84,7,310,4,0,0,ventas,medio,si
1133,0.1,0.86,6,247,4,0,0,ventas,medio,si
9517,0.11,0.85,7,302,4,0,0,ventas,bajo,si
9467,0.37,0.46,2,158,3,0,0,RRHH,bajo,si
1316,0.42,0.59,3,156,2,0,0,tecnica,bajo,no
8690,0.48,0.57,5,227,3,0,0,soporte,medio,no
5531,0.18,0.97,4,206,3,0,0,RRHH,alto,no
3795,0.1,0.87,6,307,4,0,0,gestión de productos,alto,si
4316,0.6,0.53,4,228,3,0,0,ventas,medio,no
6779,0.84,0.66,3,209,2,0,0,ventas,bajo,no
792,0.43,0.51,2,123,3,0,0,tecnica,medio,no
3255,0.65,0.77,2,248,3,0,0,soporte,bajo,no
6530,0.24,0.46,7,224,5,0,0,contabilidad,medio,si
9878,0.76,0.79,5,187,4,0,0,RRHH,medio,no
7974,0.11,0.87,6,291,4,0,0,gestión de productos,bajo,si
2064,0.8,0.81,3,199,4,1,0,soporte,medio,no
4774,0.77,0.93,4,231,5,0,0,RRHH,medio,si
9952,0.15,0.53,6,222,3,0,0,tecnica,medio,no
1841,0.57,0.67,5,235,2,0,0,gestión de productos,bajo,no
9111,0.59,0.62,3,219,3,0,0,ventas,bajo,no
3084,0.44,0.38,4,128,2,0,0,soporte,bajo,no
4585,0.85,0.87,5,246,5,1,0,ventas,medio,si
269,0.71,0.96,4,144,4,0,0,ventas,medio,no
5245,0.98,0.49,3,199,10,0,0,tecnica,medio,no
6172,0.77,0.79,3,273,2,0,0,tecnica,medio,no
5712,0.63,0.98,4,175,2,0,0,ventas,medio,no
9583,0.45,0.57,2,134,3,0,0,ventas,bajo,si
8534,0.61,0.77,4,142,3,0,0,soporte,medio,no
5997,0.77,0.64,3,191,3,1,0,gestión de productos,bajo,no
2901,0.78,1,4,253,5,0,0,marketing,bajo,si
3717,0.43,0.49,2,135,3,0,0,ventas,medio,si
1537,0.7,0.7,3,162,8,0,0,ImásD,alto,no
8256,0.85,0.99,5,248,5,0,0,ventas,bajo,si
9122,0.96,0.59,3,214,2,0,0,RRHH,bajo,no
5394,0.73,1,4,252,5,0,0,tecnica,medio,si
9809,0.8,0.53,3,255,5,0,0,tecnica,alto,si
9535,0.39,0.48,2,151,3,0,0,soporte,bajo,si
2247,0.92,0.8,3,211,4,0,0,ventas,bajo,no
5861,0.71,0.69,4,222,4,0,0,ventas,medio,no
1035,0.99,0.56,5,210,2,0,0,ImásD,medio,no
4658,0.5,0.63,4,229,4,0,0,ventas,bajo,no
951,0.4,0.45,2,142,3,0,0,tecnica,bajo,si
1541,0.96,0.82,4,244,3,0,0,soporte,alto,no
2706,0.74,0.57,4,172,3,0,0,gestión de productos,alto,no
5582,0.43,0.55,2,130,3,0,0,soporte,alto,si
6994,0.69,0.72,3,243,3,0,0,marketing,bajo,no
1582,0.88,0.57,4,185,2,0,0,ventas,bajo,no
8280,0.61,0.56,4,176,3,0,0,RRHH,medio,no
6771,0.61,0.42,2,103,8,0,0,marketing,medio,no
7265,0.74,0.98,4,160,2,0,0,soporte,bajo,no
